dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.854355,5.252130,1.841311,2.154641,-1.322585,-0.447684,6.126879
0.020000,1.896400,5.245527,1.883872,2.128013,-1.331392,-0.440356,6.127977
0.020000,1.937923,5.239056,1.925896,2.101212,-1.340075,-0.434153,6.129253
0.020000,1.978922,5.232724,1.967381,2.074240,-1.348614,-0.426939,6.130697
0.020000,2.019394,5.226537,2.008323,2.047099,-1.357030,-0.420823,6.132302
0.020000,2.059336,5.220500,2.048719,2.019792,-1.365324,-0.414680,6.134059
0.020000,2.098746,5.214617,2.088565,1.992322,-1.373506,-0.409108,6.135960
0.020000,2.137620,5.208892,2.127859,1.964691,-1.381550,-0.402179,6.137999
0.020000,2.175957,5.203328,2.166597,1.936901,-1.389498,-0.397406,6.140166
0.020000,2.213752,5.197929,2.204776,1.908955,-1.397316,-0.390921,6.142454
0.020000,2.251003,5.192697,2.242393,1.880855,-1.405028,-0.385613,6.144856
0.020000,2.287708,5.187633,2.279445,1.852602,-1.412636,-0.380376,6.147365
0.020000,2.323862,5.182740,2.315929,1.824199,-1.420123,-0.374338,6.149972
0.020000,2.359463,5.178018,2.351842,1.795649,-1.427510,-0.369380,6.152672
0.020000,2.394508,5.173467,2.387181,1.766954,-1.434771,-0.363017,6.155456
0.020000,2.428994,5.169088,2.421943,1.738115,-1.441944,-0.358684,6.158319
0.020000,2.462916,5.164880,2.456126,1.709135,-1.448990,-0.352290,6.161252
0.020000,2.496273,5.160843,2.489726,1.680016,-1.455932,-0.347114,6.164249
0.020000,2.529061,5.156975,2.522742,1.650761,-1.462766,-0.341680,6.167304
0.020000,2.561277,5.153276,2.555169,1.621372,-1.469476,-0.335526,6.170410
0.020000,2.592917,5.149743,2.587006,1.591850,-1.476076,-0.329956,6.173561
0.020000,2.623979,5.146374,2.618250,1.562199,-1.482561,-0.324288,6.176750
0.020000,2.654459,5.143167,2.648899,1.532420,-1.488927,-0.318283,6.179971
0.020000,2.684354,5.140119,2.678949,1.502517,-1.495170,-0.312168,6.183219
0.020000,2.713662,5.137227,2.708399,1.472491,-1.501297,-0.306347,6.186486
0.020000,2.742379,5.134489,2.737246,1.442345,-1.507292,-0.299734,6.189767
0.020000,2.770501,5.131901,2.765487,1.412082,-1.513166,-0.293725,6.193058
0.020000,2.798027,5.129459,2.793121,1.381704,-1.518910,-0.287166,6.196351
0.020000,2.824954,5.127159,2.820146,1.351213,-1.524522,-0.280619,6.199641
0.020000,2.851277,5.124998,2.846558,1.320613,-1.530020,-0.274904,6.202924
0.020000,2.876996,5.122972,2.872356,1.289906,-1.535356,-0.266791,6.206193
0.020000,2.902106,5.121076,2.897538,1.259094,-1.540572,-0.260809,6.209445
0.020000,2.926606,5.119305,2.922101,1.228181,-1.545654,-0.254084,6.212673
0.020000,2.950492,5.117657,2.946045,1.197169,-1.550583,-0.246466,6.215874
0.020000,2.973763,5.116125,2.969366,1.166061,-1.555410,-0.241348,6.219042
0.020000,2.996416,5.114705,2.992063,1.134861,-1.560028,-0.230868,6.222172
0.020000,3.018448,5.113393,3.014135,1.103569,-1.564609,-0.229076,6.225262
0.020000,3.039858,5.112184,3.035578,1.072190,-1.568939,-0.216504,6.228305
0.020000,3.060643,5.111074,3.056393,1.040726,-1.573190,-0.212535,6.231299
0.020000,3.080801,5.110057,3.076577,1.009180,-1.577311,-0.206056,6.234239
0.020000,3.100330,5.109128,3.096128,0.977556,-1.581187,-0.193784,6.237121
0.020000,3.119228,5.108284,3.115045,0.945854,-1.585087,-0.195036,6.239942
