dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.741547,6.665515,1.766856,2.344169,1.807958,0.556872,0.348935
0.020000,1.786271,6.681841,1.814467,2.380559,1.819532,0.578720,0.351034
0.020000,1.831652,6.698507,1.862811,2.417183,1.831160,0.581413,0.352826
0.020000,1.877696,6.715502,1.911892,2.454043,1.843022,0.593093,0.354299
0.020000,1.924414,6.732815,1.961714,2.491146,1.855163,0.607058,0.355440
0.020000,1.971816,6.750434,2.012284,2.528498,1.867598,0.621724,0.356238
0.020000,2.019911,6.768345,2.063607,2.566105,1.880339,0.637033,0.356680
0.020000,2.068711,6.786533,2.115686,2.603973,1.893397,0.652938,0.356754
0.020000,2.118229,6.804981,2.168528,2.642110,1.906827,0.671493,0.356446
0.020000,2.168475,6.823672,2.222139,2.680522,1.920623,0.689785,0.355743
0.020000,2.219464,6.842587,2.276523,2.719219,1.934866,0.712169,0.354631
0.020000,2.271210,6.861704,2.331687,2.758210,1.949534,0.733382,0.353097
0.020000,2.323727,6.881002,2.387637,2.797503,1.964627,0.754653,0.351124
0.020000,2.377030,6.900456,2.444379,2.837107,1.980204,0.778850,0.348699
0.020000,2.431135,6.920040,2.501920,2.877034,1.996348,0.807197,0.345805
0.020000,2.486060,6.939726,2.560266,2.917291,2.012862,0.825725,0.342426
0.020000,2.541821,6.959483,2.619424,2.957888,2.029872,0.850482,0.338546
0.020000,2.598436,6.979280,2.679400,2.998839,2.047539,0.883328,0.334147
0.020000,2.655924,6.999082,2.740203,3.040149,2.065506,0.898374,0.329213
0.020000,2.714304,7.018851,2.801840,3.081828,2.083940,0.921688,0.323724
0.020000,2.773596,7.038548,2.864318,3.123884,2.102826,0.944303,0.317664
0.020000,2.833819,7.058131,2.927644,3.166325,2.122016,0.959514,0.311012
0.020000,2.894992,7.077553,2.991827,3.209153,2.141426,0.970506,0.303750
0.020000,2.957138,7.096766,3.056875,3.252378,2.161252,0.991278,0.295859
0.020000,3.020274,7.115719,3.122795,3.295991,2.180622,0.968486,0.287320
0.020000,3.084421,7.134357,3.189595,3.339999,2.200421,0.989962,0.278114
0.020000,3.149598,7.152621,3.257282,3.384388,2.219446,0.951234,0.268222
0.020000,3.215824,7.170450,3.325865,3.429152,2.238182,0.936829,0.257625
0.020000,3.283114,7.187776,3.395351,3.474273,2.256077,0.894755,0.246308
0.020000,3.351486,7.204532,3.465745,3.519730,2.272843,0.838301,0.234252
0.020000,3.420952,7.220643,3.537055,3.565494,2.288169,0.766274,0.221443
0.020000,3.491524,7.236032,3.609286,3.611528,2.301711,0.677136,0.207869
0.020000,3.562984,7.250575,3.682211,3.646241,1.735666,-28.302275,0.193564
0.020000,3.634779,7.264096,3.755268,3.652847,0.330274,-70.269589,0.178643
0.020000,3.706468,7.276474,3.828018,3.637520,-0.766312,-54.829291,0.163215
0.020000,3.777929,7.287663,3.900350,3.616589,-1.046562,-14.012505,0.147332
0.020000,3.849133,7.297641,3.972249,3.594981,-1.080419,-1.692865,0.131025
0.020000,3.920049,7.306388,4.043703,3.572657,-1.116205,-1.789290,0.114331
0.020000,3.990643,7.313888,4.114694,3.549582,-1.153718,-1.875676,0.097285
0.020000,4.060881,7.320130,4.185209,3.525726,-1.192810,-1.954594,0.079926
0.020000,4.130725,7.325107,4.255230,3.501054,-1.233610,-2.040002,0.062293
0.020000,4.200137,7.328816,4.324741,3.475569,-1.274227,-2.030827,0.044426
0.020000,4.269079,7.331260,4.393726,3.449226,-1.317142,-2.145750,0.026366
0.020000,4.337509,7.332442,4.462166,3.422037,-1.359490,-2.117432,0.008155
0.020000,4.405389,7.332375,4.530046,3.394000,-1.401818,-2.116384,6.273019
0.020000,4.472679,7.331074,4.597349,3.365116,-1.444204,-2.119307,6.254630
0.020000,4.539339,7.328556,4.664056,3.335382,-1.486696,-2.124600,6.236212
0.020000,4.605332,7.324846,4.730154,3.304874,-1.525427,-1.936543,6.217806
0.020000,4.670621,7.319970,4.795625,3.273539,-1.566762,-2.066756,6.199450
0.020000,4.735171,7.313958,4.860454,3.241473,-1.603287,-1.826216,6.181180
0.020000,4.798950,7.306844,4.924628,3.208698,-1.638746,-1.772972,6.163031
0.020000,4.861926,7.298666,4.988133,3.175236,-1.673111,-1.718231,6.145036
0.020000,4.924071,7.289460,5.050956,3.141148,-1.704357,-1.562335,6.127225
0.020000,4.984343,7.279356,5.112070,3.055693,-4.272796,-128.421944,6.106003
0.020000,5.046869,7.267419,5.175725,3.182760,6.353362,531.307893,6.083218
0.020000,5.107994,7.254341,5.238233,3.125428,-2.866586,-460.997382,6.061749
0.020000,5.167713,7.240258,5.299590,3.067825,-2.880162,-0.678794,6.041609
0.020000,5.226030,7.225302,5.359794,3.010209,-2.880812,-0.032529,6.022798
0.020000,5.282958,7.209594,5.418850,2.952789,-2.870970,0.492136,6.005308
0.020000,5.338520,7.193253,5.476765,2.895744,-2.852255,0.935755,5.989120
0.020000,5.392741,7.176385,5.533549,2.839214,-2.826481,1.288703,5.974209
0.020000,5.445653,7.159092,5.589215,2.783309,-2.795250,1.561542,5.960544
0.020000,5.497289,7.141465,5.643777,2.728111,-2.759910,1.766974,5.948091
0.020000,5.547687,7.123592,5.697251,2.673676,-2.721757,1.907645,5.936813
